id,00Bibliográfia,01Sorszám_RMNY,01Sorszám_RMNY-S,cities,olimCities
ermk5779,RMNY,360,,"Alba Iulia=1, Braşov=1, Bratislava=1, Budapest=16, Cluj=4, Debrecen=2, Kalocsa=1, Keszthely=1, London=1, München=1, Oponice=1, Pannonhalma=1, Pécs=1, Sárospatak=1, Sibiu=1, Tîrgu Mureş=3, Zagreb=1, Zalău=1","Kiskunhalas, Nagykőrös, Sepsiszentgyörgy, Szászváros, Székelyudvarhely"
ermk5780,RMNY,361,,,
ermk5781,RMNY,362,,"Bratislava=2, Bucureşti=1, Budapest=5, Cluj=1, Debrecen=1, Martin=1, Nitra=1, Nové=1, Oponice=1, Sárospatak=1, Spišská Nová Ves=1, Szeged=1",
ermk5782,RMNY,363,,Sighişoara=2,
ermk5783,RMNY,364,,"Budapest=1, Sighişoara=5",
ermk5784,RMNY,365,,,
ermk5785,RMNY,366,,Bucureşti=2,
ermk5786,RMNY,367,,"Budapest=1, Tîrgu Mureş=1",Tibolddaróc
ermk5789,RMNY,368,,"Budapest=3, Cluj=1","Budapest, Tibolddaróc"
ermk5790,RMNY,369,,Sibiu=1,
ermk5791,RMNY,370,,Sighişoara=1,
ermk5792,RMNY,371,,Budapest=1,
ermk5794,RMNY,372,,,
ermk5795,RMNY,373,,Bratislava=1,
