RMNY,Hely,Év,Proveniencia,Őrzőhely,Időpont,Forrás,Kötet,Szám,,,,,,,,,,,,
854,Bártfa,1599,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,273,,,,,,,,,,,,
854,Bártfa,1599,Gabriel Valovicz,Tarnó,1730,Adattár,13/7,299,,,,,,,,,,,,
855,Bártfa,1599,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,274,,,,,,,,,,,,
860,Kolozsvár,1599,Rákóczi-család,Sárospatak,1660,KKK,1,153,,,,,,,,,,,,
865,Debrecen,1600,Rákóczi-család,Sárospatak,1660,KKK,1,162,,,,,,,,,,,,
865,Debrecen,1600,Bethlen-kollégium,Nagyenyed,1762,KKK,10,212,,,,,,,,,,,,
865,Kolozsvár,1600,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
868,Nagyszombat,1600,Rákóczi-család,Sárospatak,1660,KKK,1,159,,,,,,,,,,,,
868,Nagyszombat,1600,Jezsuita Egyetem,Nagyszombat,1690,Adattár,17/2,281,,,,,,,,,,,,
873,Bártfa,1601,Rákóczi-család,Sárospatak,1660,KKK,1,156,,,,,,,,,,,,
873,Bártfa,1601,Bethlen-kollégium,Nagyenyed,1762,KKK,10,85,,,,,,,,,,,,
874,Debrecen,1601,Rákóczi-család,Sárospatak,1660,KKK,1,155,,,,,,,,,,,,
874,Debrecen,1601,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
888,Sárvár,1602,Rákóczi-család,Sárospatak,1660,KKK,1,156,,,,,,,,,,,,
888,Sárvár,1602,Radvánszky László,Sajókaza,1750,Adattár,13/5,182,,,,,,,,,,,,
890,Sárvár,1602,Batthyány Ádám,Németújvár,1654,KKK,4,250,,,,,,,,,,,,
890,Sárvár,1602,Szikszay Margit,Kassa,1673,Adattár,15,64,,,,,,,,,,,,
894,Bártfa,1603,Bethlen-kollégium,Nagyenyed,1762,KKK,10,294,,,,,,,,,,,,
894,Bártfa,1603,Miskolci Csulyak István,Olaszliszka,1646,Adattár,13/1,76,,,,,,,,,,,,
895,Debrecen,1603,Rákóczi-család,Sárospatak,1660,KKK,1,154,,,,,,,,,,,,
895,Debrecen,1603,Bethlen-kollégium,Nagyenyed,1762,KKK,10,63,,,,,,,,,,,,
895,Debrecen,1603,Békéssy János,Kassa,1612,Adattár,15,11,,,,,,,,,,,,
895,Debrecen,1603,Szegedi Mihály,Kassa,1632,Adattár,15,23,,,,,,,,,,,,
895,Debrecen,1603,Krizbai György,Kolozsvár,1713,Adattár,16/2,68,,,,,,,,,,,,
902,Keresztúr,1603,Rákóczi-család,Sárospatak,1660,KKK,1,158,,,,,,,,,,,,
905,Nagyszombat,1603,Nádasdy Ferenc,Pottendorf,1669,KKK,8,556,,,,,,,,,,,,
919,Nürnberg,1604,Rákóczi-család,Sárospatak,1660,KKK,1,151,,,,,,,,,,,,
933,Graz,1605,Rákóczi-család,Sárospatak,1660,KKK,1,161,,,,,,,,,,,,
945,Graz,1606,Rákóczi-család,Sárospatak,1660,KKK,1,164,,,,,,,,,,,,
945,Graz,1606,Batthyány Ádám,Németújvár,1651,KKK,4,208,,,,,,,,,,,,
945,Graz,1642,Nádasdy Ferenc,Pottendorf,1669,KKK,8,344,,,,,,,,,,,,
961,Graz,1607,Jezsuita-kollégium,Nagyszombat,1635,KKK,3,92,,,,,,,,,,,,
961,Graz,1607,Bethlen-kollégium,Nagyenyed,1762,KKK,10,138,,,,,,,,,,,,
962,Herborn,1607,Rákóczi-család,Sárospatak,1660,KKK,1,146,,,,,,,,,,,,
967,Bártfa,1608,Rákóczi-család,Sárospatak,1660,KKK,1,159,,,,,,,,,,,,
971,Hanau,1608,Batthyány Ádám,Németújvár,1644,KKK,4,164,,,,,,,,,,,,
971,Hanau,1608,Batthyány Ádám,Németújvár,1653,KKK,4,235,,,,,,,,,,,,
971,Hanau,1608,Ráday-család,Pécel,1730,KKK,7,198,,,,,,,,,,,,
971,Hanau,1608,Bethlen-kollégium,Nagyenyed,1762,KKK,10,17,,,,,,,,,,,,
971,Hanau,1608,Gombkötő János,Kassa,1654,Adattár,15,43,,,,,,,,,,,,
971,Hanau,1608,Kállay Erzsébet,Kassa,1625,Adattár,15,21,,,,,,,,,,,,
971,Hanau,1608,Kis Király Pál,Kassa,1655,Adattár,15,47,,,,,,,,,,,,
971,Hanau,1608,Szegedi István,Kassa,1628,Adattár,15,22,,,,,,,,,,,,
971,Hanau,1608,Szegedi Mihály,Kassa,1632,Adattár,15,23,,,,,,,,,,,,
971,Hanau,1608,Várallyai István,Kassa,1646,Adattár,15,36,,,,,,,,,,,,
971,Hanau,1608,Esterházy József,Cseklész,1749,Adattár,13/5,116,,,,,,,,,,,,
977,Debrecen,1609,Bethlen-kollégium,Nagyenyed,1762,KKK,10,319,,,,,,,,,,,,
988,Bártfa,1610,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,239,,,,,,,,,,,,
988,Bártfa,1610,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,256,,,,,,,,,,,,
988,Bártfa,1610,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,258,,,,,,,,,,,,
993,Debrecen,1610,Bethlen-kollégium,Nagyenyed,1762,KKK,10,306,,,,,,,,,,,,
994,Graz,1610,Batthyány Ádám,Németújvár,1644,KKK,4,169,,,,,,,,,,,,
995,Hanau,1610,Bél Mátyás,Pozsony,1749,Adattár,13/5,104,,,,,,,,,,,,
996,Kassa,1610,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,239,,,,,,,,,,,,
996,Kassa,1610,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,256,,,,,,,,,,,,
996,Kassa,1610,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,259,,,,,,,,,,,,
1002,Pozsony,1610,Nádasdy Ferenc,Pottendorf,1669,KKK,8,561,,,,,,,,,,,,
1002,Pozsony,1610,"Czemanka, Ondrej",Tarnó,1730,Adattár,13/7,239,,,,,,,,,,,,
1012,Hanau,1611,Batthyány Ádám,Németújvár,1644,KKK,4,183,,,,,,,,,,,,
1012,Hanau,1611,Batthyány Ádám,Németújvár,1653,KKK,4,237,,,,,,,,,,,,
